"Title","PubDate","Guid","EnclosureUrl","EnclosureLength","LocalAudioFile"
"Water to Living Water","Sun, 05 Jul 2026 18:51:49 +0000","https://www.fillmorechristian.org/episode/water-to-living-water/","https://www.fillmorechristian.org/media/2026-07-05-water-to-living-water.mp3","30954901","audio/2026-07-05-water-to-living-water.mp3"
"The Father's Offensive Grace","Sun, 21 Jun 2026 15:00:00 +0000","https://www.fillmorechristian.org/episode/the-fathers-offensive-grace/","https://www.fillmorechristian.org/media/2026-06-21-the-fathers-offensive-grace.mp3","31104913","audio/2026-06-21-the-fathers-offensive-grace.mp3"
"Zeal for the True Temple","Sun, 07 Jun 2026 16:50:49 +0000","https://www.fillmorechristian.org/episode/zeal-for-the-true-temple/","https://www.fillmorechristian.org/media/June-7-2026-John-2-13-22-Wake-Sermon.mp3","29088420","audio/June-7-2026-John-2-13-22-Wake-Sermon.mp3"
"Calling of the Disciples Charles Spurgeon","Sun, 24 May 2026 16:34:53 +0000","https://www.fillmorechristian.org/episode/calling-of-the-disciples-charles-spurgeon/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/05/May-24-2026-Charles-Spurgeon-John-1-35-51.mp3","32946373","audio/May-24-2026-Charles-Spurgeon-John-1-35-51.mp3"
"The Faithful Son in the Wilderness","Sun, 17 May 2026 16:26:50 +0000","https://www.fillmorechristian.org/episode/the-faithful-son-in-the-wilderness/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/05/May-17-2026-Luke-4-1-13-Wake-sermon.mp3","31741018","audio/May-17-2026-Luke-4-1-13-Wake-sermon.mp3"
"From Egypt to the Jordan","Sun, 26 Apr 2026 16:37:14 +0000","https://www.fillmorechristian.org/episode/from-egypt-to-the-jordan/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/04/April-26-2026-From-Egypt-to-the-Jordan.mp3","27131931","audio/April-26-2026-From-Egypt-to-the-Jordan.mp3"
"The Reading of the Law Nehemiah 8","Sun, 08 Mar 2026 16:28:35 +0000","https://www.fillmorechristian.org/episode/the-reading-of-the-law-nehemiah-8/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/03/March-8-2025-Nehemiah-9-Wake-Sermon.mp3","33643726","audio/March-8-2025-Nehemiah-9-Wake-Sermon.mp3"
"The Humble King Charles Spurgeon","Sun, 15 Feb 2026 17:48:39 +0000","https://www.fillmorechristian.org/episode/the-humble-king-charles-spurgeon-2/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/02/Febuary-15-2026-Charles-Spurgeon-on-meak-God-.mp3","44609440","audio/Febuary-15-2026-Charles-Spurgeon-on-meak-God-.mp3"
"The Weight of Unresolved Guilt – Ezra 6","Mon, 09 Feb 2026 17:31:44 +0000","https://www.fillmorechristian.org/episode/the-weight-of-unresolved-guilt-ezra-6/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/02/Ezra-6.m4a","12138085","audio/Ezra-6.m4a"
"Faithful Through the Trials","Sun, 11 Jan 2026 17:23:02 +0000","https://www.fillmorechristian.org/episode/faithful-through-the-trials/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/01/Daniel-6-Wake-Sermon-January-11-2026-.mp3","28385766","audio/Daniel-6-Wake-Sermon-January-11-2026-.mp3"
"Breathe of Life into Dry Bones","Sun, 14 Dec 2025 17:25:47 +0000","https://www.fillmorechristian.org/episode/breathe-of-life-to-dry-bones/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/12/Ezekiel-Wake-Sermon-December-14-2025.mp3","21798813","audio/Ezekiel-Wake-Sermon-December-14-2025.mp3"
"Micah 4-6 The Hope in the Minor Prophets","Sun, 23 Nov 2025 17:44:36 +0000","https://www.fillmorechristian.org/episode/micah-4-6-the-hope-in-the-minor-prophets/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/11/November-23-2025-Wake-Sermon-Micah-5-6-mp3.mp3","44605270","audio/November-23-2025-Wake-Sermon-Micah-5-6-mp3.mp3"
"Charles Spurgeon on King Hezekiah","Sun, 16 Nov 2025 17:52:39 +0000","https://www.fillmorechristian.org/episode/charles-spurgeon-on-king-hezekiah/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/11/Charles-Spurgeon-November-16-2025-.mp3","54194992","audio/Charles-Spurgeon-November-16-2025-.mp3"
"Hosea","Thu, 06 Nov 2025 12:30:46 +0000","https://www.fillmorechristian.org/episode/hosea/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/11/Wake-Hosea.m4a","14767072","audio/Wake-Hosea.m4a"
"Right in Your Own Eyes","Sun, 18 May 2025 16:56:18 +0000","https://www.fillmorechristian.org/episode/right-in-your-own-eyes/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/05/May-18-2025-Judges-17-21-Right-inYou-Own-Eye-Wake-Sermon.mp3","24645840","audio/May-18-2025-Judges-17-21-Right-inYou-Own-Eye-Wake-Sermon.mp3"
"Judges Summary","Sun, 04 May 2025 16:50:19 +0000","https://www.fillmorechristian.org/episode/judges-summary-2/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/05/5-4-2025-Wake-Sermon-Judges-Summary-.mp3","19679879","audio/5-4-2025-Wake-Sermon-Judges-Summary-.mp3"
"The Downward Spiral","Sun, 27 Apr 2025 16:16:53 +0000","https://www.fillmorechristian.org/episode/the-downward-spiral/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/04/April-27-2025-Judges-2-6-23-Wake-Sermon.mp3","21512405","audio/April-27-2025-Judges-2-6-23-Wake-Sermon.mp3"
